svr__C,svr__kernel,vect__analyzer,vect__ngram_range,vect__preprocessor,mean_test_score,std_test_score,rank_test_score,mean_fit_time
1.0,sigmoid,char_wb,"(2, 4)",rmstop_clean_stem,-1.1614816731437225,0.02973162100518624,155,2.8258801698684692
1.0,sigmoid,char_wb,"(2, 8)",<lambda>,-1.113396493452817,0.038181064854817925,59,4.973867237567902
1.0,sigmoid,char_wb,"(2, 8)",rmstop_clean_stem,-1.1819894872075853,0.0264225722681735,182,4.0861674547195435
1.0,sigmoid,char_wb,"(2, 12)",<lambda>,-1.1277636610047266,0.03896982650188132,91,5.557748198509216
1.0,sigmoid,char_wb,"(2, 12)",rmstop_clean_stem,-1.1979516467828946,0.02723972450839634,217,4.443248152732849
1.0,sigmoid,char_wb,"(2, 16)",<lambda>,-1.1288188326312465,0.038729274946288895,94,5.764294266700745
1.0,sigmoid,char_wb,"(2, 16)",rmstop_clean_stem,-1.1978386576071982,0.02510983565779474,216,4.409740090370178
1.0,sigmoid,char_wb,"(4, 4)",<lambda>,-1.1178233254192798,0.037019276624550845,64,1.3408018350601196
1.0,sigmoid,char_wb,"(4, 4)",rmstop_clean_stem,-1.1780336440039147,0.026821723340309578,177,1.2760373950004578
1.0,sigmoid,char_wb,"(4, 8)",<lambda>,-1.1449268077234087,0.045563049726934236,126,3.1069688200950623
